time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,2,0.5,1.45248,0.0202612,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
1,1,1,1.44314,0.0202394,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
2,1,1,1.44204,0.02025,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
3,1,1,1.44217,0.0202274,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
4,1,1,1.44226,0.0202159,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
5,1,1,1.44165,0.0201255,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
6,1,1,1.44189,0.020206,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
7,1,1,1.44215,0.0201688,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
8,1,1,1.44188,0.0202207,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
9,1,1,1.4418,0.0203158,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
10,1,1,1.4424,0.0202075,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
11,1,1,1.44203,0.020124,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
12,1,1,1.4423,0.0202981,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
13,1,1,1.44222,0.0202751,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
14,1,1,1.44231,0.0202119,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
15,1,1,1.44219,0.0202455,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
16,1,1,1.44199,0.020239,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
17,1,1,1.44197,0.020284,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
18,1,1,1.44207,0.0200954,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
19,1,1,1.44213,0.020254,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
20,1,1,1.44211,0.0202189,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
21,1,1,1.44244,0.0203268,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
22,1,1,1.44192,0.020237,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
23,1,1,1.44221,0.0202554,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
24,1,1,1.44208,0.0202855,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
25,1,1,1.44252,0.020252,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
26,1,1,1.44166,0.0202101,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
27,1,1,1.44233,0.0202112,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
28,1,1,1.44194,0.020217,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
29,1,1,1.44179,0.0203539,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
30,1,1,1.44182,0.0202325,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
31,1,1,1.44217,0.0202681,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
32,1,1,1.44207,0.0203109,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
33,1,1,1.44252,0.0202947,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
34,1,1,1.44204,0.0202038,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
35,1,1,1.4418,0.0202349,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
36,1,1,1.44162,0.0203664,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
37,1,1,1.44152,0.0205566,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
38,1,1,1.44185,0.020275,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
39,1,1,1.44185,0.0202499,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
40,1,1,1.44178,0.0204208,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
41,1,1,1.44221,0.0202767,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
42,1,1,1.44266,0.0202134,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
43,1,1,1.44125,0.0201666,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
44,1,1,1.44237,0.0202636,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
45,1,1,1.44183,0.0203767,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
46,1,1,1.44188,0.0201956,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
47,1,1,1.44186,0.0203049,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
48,1,1,1.44189,0.0202018,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
49,1,1,1.44243,0.0202057,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
50,1,1,1.4426,0.02029,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
51,1,1,1.44205,0.0202588,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
52,1,1,1.44171,0.0203877,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
53,1,1,1.44191,0.0203662,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
54,1,1,1.44209,0.0201378,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
55,1,1,1.44199,0.0202143,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
56,1,1,1.44212,0.0200934,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
57,1,1,1.44156,0.0203559,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
58,1,1,1.44316,0.0201458,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
59,1,1,1.44269,0.0203161,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
60,1,1,1.44177,0.0202495,5832000,5832000,0,0,2928000,0,0,21,0.5,0,0,
Total,1.03333,30.5, , , , , ,
