time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,5,0.2,0.270748,0.0204681,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
1,3,0.333333,0.270328,0.0202966,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
2,3,0.333333,0.270274,0.0205063,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
3,3,0.333333,0.270455,0.0203894,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
4,4,0.25,0.270338,0.0203201,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
5,3,0.333333,0.270326,0.0204767,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
6,4,0.25,0.270481,0.0204427,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
7,3,0.333333,0.270323,0.0204824,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
8,3,0.333333,0.270905,0.0203932,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
9,4,0.25,0.27074,0.0203978,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
10,3,0.333333,0.270298,0.0203227,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
11,4,0.25,0.270821,0.0204798,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
12,3,0.333333,0.270491,0.0204741,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
13,4,0.25,0.270443,0.020423,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
14,3,0.333333,0.270347,0.0203155,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
15,3,0.333333,0.270732,0.0203921,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
16,4,0.25,0.270458,0.0204402,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
17,3,0.333333,0.270689,0.0204469,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
18,4,0.25,0.270313,0.0203376,5832000,5832000,0,0,2985984,0,0,37,0.5,0,0,
