time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,3,0.333333,0.708882,0.0203192,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
1,1,1,0.708524,0.0203342,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
2,2,0.5,0.70825,0.0202925,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
3,1,1,0.708777,0.0202794,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
4,1,1,0.70835,0.0203345,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
5,2,0.5,0.708776,0.0202156,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
6,1,1,0.709024,0.0203003,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
7,1,1,0.708905,0.0202863,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
8,2,0.5,0.708443,0.0202419,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
9,1,1,0.708612,0.0203599,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
10,1,1,0.709002,0.0202297,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
11,2,0.5,0.709778,0.0201194,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
12,1,1,0.70877,0.0202158,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
13,2,0.5,0.708839,0.0203331,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
14,1,1,0.709135,0.0204114,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
15,1,1,0.70909,0.020284,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
16,2,0.5,0.7088,0.0203108,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
17,1,1,0.709223,0.0202012,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
18,1,1,0.708723,0.0202909,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
19,2,0.5,0.708848,0.0202942,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
20,1,1,0.709034,0.0201305,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
21,2,0.5,0.708903,0.0203476,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
22,1,1,0.709172,0.0203311,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
23,1,1,0.708797,0.0202216,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
24,2,0.5,0.708758,0.0201093,5832001,5832000,0,0,2924344,0,0,27,0.5,0,0,
