time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,80,0.0125,0.01073,0.00158842,443392,443392,0,0,249408,0,0,21,0.55,0,0,
1,78,0.0128205,0.0104979,0.00161434,443392,443392,0,0,249408,0,0,21,0.55,0,0,
2,78,0.0128205,0.0107183,0.00161222,443392,443392,0,0,249408,0,0,21,0.55,0,0,
3,79,0.0126582,0.0106956,0.00163856,443392,443392,0,0,249408,0,0,21,0.55,0,0,
4,79,0.0126582,0.0104999,0.00159008,443392,443392,0,0,249408,0,0,21,0.55,0,0,
5,79,0.0126582,0.0105007,0.00158816,443392,443392,0,0,249408,0,0,21,0.55,0,0,
6,79,0.0126582,0.0106962,0.00158294,443392,443392,0,0,249408,0,0,21,0.55,0,0,
7,79,0.0126582,0.0107013,0.00163197,443392,443392,0,0,249408,0,0,21,0.55,0,0,
8,78,0.0128205,0.0105479,0.00158656,443392,443392,0,0,249408,0,0,21,0.55,0,0,
9,79,0.0126582,0.0107164,0.00162016,443392,443392,0,0,249408,0,0,21,0.55,0,0,
10,79,0.0126582,0.0107436,0.00159558,443392,443392,0,0,249408,0,0,21,0.55,0,0,
11,79,0.0126582,0.0104998,0.00158147,443392,443392,0,0,249408,0,0,21,0.55,0,0,
12,79,0.0126582,0.0106974,0.00159942,443392,443392,0,0,249408,0,0,21,0.55,0,0,
13,79,0.0126582,0.0107138,0.00158854,443392,443392,0,0,249408,0,0,21,0.55,0,0,
14,78,0.0128205,0.0106995,0.00157648,443392,443392,0,0,249408,0,0,21,0.55,0,0,
15,76,0.0131579,0.0107072,0.00159171,443392,443392,0,0,249408,0,0,21,0.55,0,0,
16,79,0.0126582,0.0107091,0.00160963,443392,443392,0,0,249408,0,0,21,0.55,0,0,
17,80,0.0125,0.0107059,0.00157594,443392,443392,0,0,249408,0,0,21,0.55,0,0,
18,78,0.0128205,0.0107995,0.00161747,443392,443392,0,0,249408,0,0,21,0.55,0,0,
19,79,0.0126582,0.0105486,0.00157904,443392,443392,0,0,249408,0,0,21,0.55,0,0,
