time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,78,0.0128205,0.010468,0.00158429,443392,443392,0,0,0,0,0,21,0,0,0,
1,79,0.0126582,0.010446,0.00157046,443392,443392,0,0,0,0,0,21,0,0,0,
2,80,0.0125,0.0104433,0.00158547,443392,443392,0,0,0,0,0,21,0,0,0,
3,80,0.0125,0.0106543,0.00160742,443392,443392,0,0,0,0,0,21,0,0,0,
4,79,0.0126582,0.0108208,0.00162486,443392,443392,0,0,0,0,0,21,0,0,0,
5,79,0.0126582,0.010448,0.00160829,443392,443392,0,0,0,0,0,21,0,0,0,
6,80,0.0125,0.0106487,0.00157827,443392,443392,0,0,0,0,0,21,0,0,0,
7,79,0.0126582,0.0105245,0.00158986,443392,443392,0,0,0,0,0,21,0,0,0,
8,80,0.0125,0.0104886,0.0015751,443392,443392,0,0,0,0,0,21,0,0,0,
9,80,0.0125,0.0106449,0.00161626,443392,443392,0,0,0,0,0,21,0,0,0,
10,79,0.0126582,0.0104446,0.00157994,443392,443392,0,0,0,0,0,21,0,0,0,
11,80,0.0125,0.0106587,0.0015656,443392,443392,0,0,0,0,0,21,0,0,0,
12,79,0.0126582,0.0104699,0.00158659,443392,443392,0,0,0,0,0,21,0,0,0,
13,80,0.0125,0.0106403,0.00158406,443392,443392,0,0,0,0,0,21,0,0,0,
14,79,0.0126582,0.0106508,0.00160189,443392,443392,0,0,0,0,0,21,0,0,0,
15,79,0.0126582,0.0104465,0.00158509,443392,443392,0,0,0,0,0,21,0,0,0,
16,79,0.0126582,0.0105229,0.00158413,443392,443392,0,0,0,0,0,21,0,0,0,
17,79,0.0126582,0.010461,0.0015727,443392,443392,0,0,0,0,0,21,0,0,0,
18,79,0.0126582,0.0106845,0.00159562,443392,443392,0,0,0,0,0,21,0,0,0,
19,80,0.0125,0.0106428,0.00159373,443392,443392,0,0,0,0,0,21,0,0,0,
20,79,0.0126582,0.0104441,0.00155661,443392,443392,0,0,0,0,0,21,0,0,0,
21,79,0.0126582,0.0104443,0.00156013,443392,443392,0,0,0,0,0,21,0,0,0,
22,79,0.0126582,0.0105346,0.00164035,443392,443392,0,0,0,0,0,21,0,0,0,
23,79,0.0126582,0.0105251,0.00157286,443392,443392,0,0,0,0,0,21,0,0,0,
24,79,0.0126582,0.0106553,0.00158678,443392,443392,0,0,0,0,0,21,0,0,0,
25,80,0.0125,0.0108038,0.00160192,443392,443392,0,0,0,0,0,21,0,0,0,
