time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,947,0.00105597,0.000280256,0.000304192,82944,82944,0,0,41472,0,0,23,0.5,0,0,
1,1326,0.000754148,0.000280288,0.000305184,82944,82944,0,0,41472,0,0,23,0.5,0,0,
2,1330,0.00075188,0.000279456,0.000307296,82944,82944,0,0,41472,0,0,23,0.5,0,0,
3,1320,0.000757576,0.00027968,0.000304256,82944,82944,0,0,41472,0,0,23,0.5,0,0,
4,1330,0.00075188,0.000280096,0.000306112,82944,82944,0,0,41472,0,0,23,0.5,0,0,
5,1335,0.000749064,0.000279552,0.000306496,82944,82944,0,0,41472,0,0,23,0.5,0,0,
6,1332,0.000750751,0.000279808,0.000312736,82944,82944,0,0,41472,0,0,23,0.5,0,0,
7,1306,0.000765697,0.000280256,0.000306368,82944,82944,0,0,41472,0,0,23,0.5,0,0,
8,1323,0.000755858,0.000279744,0.00030656,82944,82944,0,0,41472,0,0,23,0.5,0,0,
9,1329,0.000752445,0.000279968,0.00030672,82944,82944,0,0,41472,0,0,23,0.5,0,0,
10,1317,0.000759301,0.000279328,0.00030768,82944,82944,0,0,41472,0,0,23,0.5,0,0,
11,1323,0.000755858,0.000279456,0.000308288,82944,82944,0,0,41472,0,0,23,0.5,0,0,
12,1316,0.000759878,0.000280224,0.000306368,82944,82944,0,0,41472,0,0,23,0.5,0,0,
13,1330,0.00075188,0.000280256,0.000306272,82944,82944,0,0,41472,0,0,23,0.5,0,0,
14,1313,0.000761615,0.000280192,0.00030336,82944,82944,0,0,41472,0,0,23,0.5,0,0,
15,1303,0.00076746,0.000279968,0.00030592,82944,82944,0,0,41472,0,0,23,0.5,0,0,
16,1295,0.000772201,0.000279968,0.000305568,82944,82944,0,0,41472,0,0,23,0.5,0,0,
17,1294,0.000772798,0.000280128,0.000307776,82944,82944,0,0,41472,0,0,23,0.5,0,0,
18,1065,0.000938967,0.000280224,0.000301376,82944,82944,0,0,41472,0,0,23,0.5,0,0,
19,1322,0.00075643,0.000280096,0.000301792,82944,82944,0,0,41472,0,0,23,0.5,0,0,
20,1320,0.000757576,0.000280352,0.00030608,82944,82944,0,0,41472,0,0,23,0.5,0,0,
21,1320,0.000757576,0.000279808,0.000300064,82944,82944,0,0,41472,0,0,23,0.5,0,0,
22,1312,0.000762195,0.000280096,0.0003008,82944,82944,0,0,41472,0,0,23,0.5,0,0,
23,1296,0.000771605,0.000280128,0.000305216,82944,82944,0,0,41472,0,0,23,0.5,0,0,
24,1297,0.00077101,0.000279648,0.000306816,82944,82944,0,0,41472,0,0,23,0.5,0,0,
25,1304,0.000766871,0.000279936,0.000307936,82944,82944,0,0,41472,0,0,23,0.5,0,0,
26,1318,0.000758725,0.000279712,0.0003072,82944,82944,0,0,41472,0,0,23,0.5,0,0,
27,1311,0.000762777,0.000280288,0.000307968,82944,82944,0,0,41472,0,0,23,0.5,0,0,
28,1327,0.000753579,0.000279936,0.000305152,82944,82944,0,0,41472,0,0,23,0.5,0,0,
29,1318,0.000758725,0.000280448,0.00030656,82944,82944,0,0,41472,0,0,23,0.5,0,0,
30,1292,0.000773994,0.000280032,0.000305536,82944,82944,0,0,41472,0,0,23,0.5,0,0,
31,1298,0.000770416,0.000279968,0.000305824,82944,82944,0,0,41472,0,0,23,0.5,0,0,
32,1306,0.000765697,0.000280352,0.000306976,82944,82944,0,0,41472,0,0,23,0.5,0,0,
33,1294,0.000772798,0.000280512,0.000303328,82944,82944,0,0,41472,0,0,23,0.5,0,0,
34,1314,0.000761035,0.000279744,0.000304224,82944,82944,0,0,41472,0,0,23,0.5,0,0,
35,1315,0.000760456,0.000280416,0.000307328,82944,82944,0,0,41472,0,0,23,0.5,0,0,
36,1324,0.000755287,0.00028048,0.000301088,82944,82944,0,0,41472,0,0,23,0.5,0,0,
37,1317,0.000759301,0.00028032,0.000302944,82944,82944,0,0,41472,0,0,23,0.5,0,0,
38,1299,0.000769823,0.000280416,0.00030224,82944,82944,0,0,41472,0,0,23,0.5,0,0,
39,1299,0.000769823,0.00028016,0.000303456,82944,82944,0,0,41472,0,0,23,0.5,0,0,
40,1298,0.000770416,0.000280096,0.000304224,82944,82944,0,0,41472,0,0,23,0.5,0,0,
41,1290,0.000775194,0.000279776,0.00030224,82944,82944,0,0,41472,0,0,23,0.5,0,0,
42,1310,0.000763359,0.000280704,0.000305984,82944,82944,0,0,41472,0,0,23,0.5,0,0,
43,1318,0.000758725,0.000280416,0.000306016,82944,82944,0,0,41472,0,0,23,0.5,0,0,
44,1292,0.000773994,0.000280544,0.000306496,82944,82944,0,0,41472,0,0,23,0.5,0,0,
45,1096,0.000912409,0.000280352,0.00030192,82944,82944,0,0,41472,0,0,23,0.5,0,0,
46,1307,0.000765111,0.000279968,0.000305408,82944,82944,0,0,41472,0,0,23,0.5,0,0,
47,1301,0.000768639,0.00027984,0.000304384,82944,82944,0,0,41472,0,0,23,0.5,0,0,
48,1296,0.000771605,0.000279904,0.000305056,82944,82944,0,0,41472,0,0,23,0.5,0,0,
49,1313,0.000761615,0.00028016,0.000307008,82944,82944,0,0,41472,0,0,23,0.5,0,0,
50,1327,0.000753579,0.000279744,0.000303424,82944,82944,0,0,41472,0,0,23,0.5,0,0,
51,1318,0.000758725,0.000280128,0.000312608,82944,82944,0,0,41472,0,0,23,0.5,0,0,
52,1320,0.000757576,0.000279808,0.000307328,82944,82944,0,0,41472,0,0,23,0.5,0,0,
53,1292,0.000773994,0.000280576,0.000305792,82944,82944,0,0,41472,0,0,23,0.5,0,0,
54,1305,0.000766284,0.000279968,0.000307488,82944,82944,0,0,41472,0,0,23,0.5,0,0,
55,1295,0.000772201,0.00027984,0.000309984,82944,82944,0,0,41472,0,0,23,0.5,0,0,
56,1291,0.000774593,0.000279424,0.000306272,82944,82944,0,0,41472,0,0,23,0.5,0,0,
57,1311,0.000762777,0.000280352,0.000305376,82944,82944,0,0,41472,0,0,23,0.5,0,0,
58,1324,0.000755287,0.000280448,0.000304832,82944,82944,0,0,41472,0,0,23,0.5,0,0,
59,1317,0.000759301,0.000280288,0.000303328,82944,82944,0,0,41472,0,0,23,0.5,0,0,
60,1319,0.00075815,0.00027968,0.000305408,82944,82944,0,0,41472,0,0,23,0.5,0,0,
Total,1319.62,30.5, , , , , ,
