time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,69,0.0144928,0.00606934,0.00437024,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
1,91,0.010989,0.0063288,0.00443923,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
2,91,0.010989,0.00630621,0.00441677,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
3,90,0.0111111,0.00609094,0.0043417,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
4,91,0.010989,0.00609414,0.00437616,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
5,91,0.010989,0.00609123,0.00440115,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
6,91,0.010989,0.00609011,0.00437117,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
7,91,0.010989,0.00630378,0.00436326,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
8,90,0.0111111,0.00609149,0.00443846,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
9,91,0.010989,0.00609149,0.00441504,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
10,92,0.0108696,0.00609389,0.00435955,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
11,91,0.010989,0.00609133,0.00437824,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
12,91,0.010989,0.00608992,0.00438512,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
13,91,0.010989,0.00609014,0.00438694,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
14,92,0.0108696,0.00609334,0.00438656,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
15,91,0.010989,0.00609827,0.00444016,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
16,92,0.0108696,0.00609376,0.0044184,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
17,91,0.010989,0.00609274,0.00439059,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
18,91,0.010989,0.00609779,0.00442755,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
19,91,0.010989,0.00609011,0.00438931,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
20,82,0.0121951,0.00609306,0.00436432,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
21,83,0.0120482,0.00628813,0.00439005,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
22,91,0.010989,0.00609306,0.00443056,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
23,91,0.010989,0.00609021,0.00438272,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
24,92,0.0108696,0.00629763,0.00433488,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
25,90,0.0111111,0.00609802,0.00440592,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
26,91,0.010989,0.00610432,0.00438509,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
27,92,0.0108696,0.00609274,0.00443187,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
28,92,0.0108696,0.0063137,0.00437552,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
29,91,0.010989,0.00609002,0.00437664,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
30,92,0.0108696,0.00609312,0.00438656,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
31,92,0.0108696,0.00632733,0.00435034,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
32,91,0.010989,0.00609354,0.00440893,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
33,91,0.010989,0.00608963,0.00435926,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
34,91,0.010989,0.00609427,0.00439526,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
35,91,0.010989,0.00630707,0.00440074,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
36,91,0.010989,0.00608922,0.00435702,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
37,92,0.0108696,0.006096,0.00438618,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
38,91,0.010989,0.00609053,0.00432851,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
39,92,0.0108696,0.00628931,0.00433398,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
40,91,0.010989,0.00608989,0.00436477,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
41,91,0.010989,0.00629901,0.00437498,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
42,91,0.010989,0.00609066,0.0043512,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
43,92,0.0108696,0.00645238,0.00433027,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
44,91,0.010989,0.00608966,0.00447165,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
45,92,0.0108696,0.00628602,0.00437626,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
46,91,0.010989,0.00608989,0.00437011,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
47,86,0.0116279,0.00608976,0.00436208,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
48,91,0.010989,0.00609011,0.00433213,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
49,92,0.0108696,0.00632973,0.004336,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
50,91,0.010989,0.00608947,0.00439018,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
51,91,0.010989,0.00610515,0.00435712,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
52,91,0.010989,0.00609075,0.00442573,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
53,91,0.010989,0.00629782,0.0043273,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
54,90,0.0111111,0.00608979,0.00437507,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
55,91,0.010989,0.00629395,0.00436211,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
56,90,0.0111111,0.00609072,0.00436016,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
57,91,0.010989,0.00630813,0.00438336,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
58,90,0.0111111,0.00610474,0.00438048,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
59,91,0.010989,0.00608973,0.00438336,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
60,90,0.0111111,0.00610464,0.00438595,1246208,1246208,0,0,623104,0,0,55,0.5,0,0,
Total,91.8833,30.5, , , , , ,
