time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,28,0.0357143,0.0149106,0.0101695,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
1,40,0.025,0.0145348,0.0100598,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
2,39,0.025641,0.0145458,0.010067,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
3,40,0.025,0.0145364,0.010029,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
4,40,0.025,0.0145388,0.0101457,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
5,39,0.025641,0.0145365,0.0101141,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
6,40,0.025,0.0145354,0.0100475,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
7,40,0.025,0.0145389,0.0101131,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
8,40,0.025,0.0149172,0.0100713,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
9,39,0.025641,0.0145412,0.0100931,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
10,40,0.025,0.0145355,0.0101775,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
11,40,0.025,0.0145361,0.0101377,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
12,40,0.025,0.0145398,0.010066,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
13,40,0.025,0.0145376,0.0101086,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
14,39,0.025641,0.0145344,0.0100918,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
15,40,0.025,0.0145354,0.0100539,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
16,26,0.0384615,0.0145317,0.0100316,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
17,40,0.025,0.01455,0.0100606,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
18,40,0.025,0.014534,0.0100355,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
19,39,0.025641,0.0145402,0.00994461,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
20,40,0.025,0.014731,0.00997398,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
21,40,0.025,0.0145364,0.0100563,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
22,40,0.025,0.0145384,0.0101292,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
23,39,0.025641,0.0145329,0.0101975,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
24,40,0.025,0.0145372,0.0100882,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
25,40,0.025,0.0145353,0.0101363,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
26,39,0.025641,0.0145358,0.0101882,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
27,40,0.025,0.0145364,0.0101588,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
28,40,0.025,0.0145369,0.0100654,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
29,39,0.025641,0.0145367,0.0101036,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
30,40,0.025,0.0147583,0.0100873,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
31,40,0.025,0.0145327,0.0100382,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
32,39,0.025641,0.0149284,0.0100664,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
33,40,0.025,0.0150052,0.0102654,2900992,2900992,0,0,1450496,0,0,73,0.5,0,0,
