time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,4736,0.000211149,6.72e-06,1.0368e-05,32,32,0,0,16,0,0,3,0.5,0,0,
1,6203,0.000161212,6.848e-06,1.0112e-05,32,32,0,0,16,0,0,3,0.5,0,0,
2,6187,0.000161629,6.56e-06,1.0144e-05,32,32,0,0,16,0,0,3,0.5,0,0,
3,5980,0.000167224,6.624e-06,1.1072e-05,32,32,0,0,16,0,0,3,0.5,0,0,
4,4547,0.000219925,6.24e-06,1.1264e-05,32,32,0,0,16,0,0,3,0.5,0,0,
5,6168,0.000162127,6.848e-06,1.0816e-05,32,32,0,0,16,0,0,3,0.5,0,0,
6,6373,0.000156912,6.272e-06,1.04e-05,32,32,0,0,16,0,0,3,0.5,0,0,
7,6477,0.000154392,6.08e-06,1.0272e-05,32,32,0,0,16,0,0,3,0.5,0,0,
8,6400,0.00015625,6.304e-06,1.0112e-05,32,32,0,0,16,0,0,3,0.5,0,0,
9,6329,0.000158003,6.112e-06,1.0016e-05,32,32,0,0,16,0,0,3,0.5,0,0,
10,6284,0.000159134,5.824e-06,1.0784e-05,32,32,0,0,16,0,0,3,0.5,0,0,
11,6402,0.000156201,6.144e-06,1.0592e-05,32,32,0,0,16,0,0,3,0.5,0,0,
12,6260,0.000159744,6.56e-06,1.0592e-05,32,32,0,0,16,0,0,3,0.5,0,0,
13,6417,0.000155836,6.56e-06,1.088e-05,32,32,0,0,16,0,0,3,0.5,0,0,
14,6520,0.000153374,6.4e-06,1.0656e-05,32,32,0,0,16,0,0,3,0.5,0,0,
15,6452,0.000154991,5.92e-06,1.0304e-05,32,32,0,0,16,0,0,3,0.5,0,0,
16,6551,0.000152648,6.592e-06,1.072e-05,32,32,0,0,16,0,0,3,0.5,0,0,
17,6286,0.000159084,6.336e-06,9.984e-06,32,32,0,0,16,0,0,3,0.5,0,0,
