time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,36,0.0277778,0.0158514,0.0116942,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
1,35,0.0285714,0.0158481,0.0117464,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
2,36,0.0277778,0.0158458,0.0117115,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
3,26,0.0384615,0.015857,0.0116854,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
4,35,0.0285714,0.0158452,0.0116627,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
5,36,0.0277778,0.0158578,0.0117258,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
6,36,0.0277778,0.0158509,0.0116159,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
7,36,0.0277778,0.0158469,0.0116935,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
8,35,0.0285714,0.0158474,0.0116303,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
9,36,0.0277778,0.0158652,0.0116539,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
10,36,0.0277778,0.0158464,0.0116496,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
11,35,0.0285714,0.0158612,0.0115765,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
12,36,0.0277778,0.0158473,0.0116581,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
13,35,0.0285714,0.01585,0.0117524,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
14,36,0.0277778,0.0158498,0.0116362,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
15,36,0.0277778,0.0158466,0.0116371,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
16,35,0.0285714,0.0158613,0.0117216,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
17,36,0.0277778,0.0158468,0.0116251,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
18,36,0.0277778,0.0158448,0.0116109,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
19,35,0.0285714,0.0158452,0.0117241,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
20,36,0.0277778,0.0158602,0.011598,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
21,35,0.0285714,0.0158685,0.0116843,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
22,36,0.0277778,0.0159967,0.0115611,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
23,36,0.0277778,0.0158509,0.0116748,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
24,36,0.0277778,0.0160375,0.0114739,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
25,35,0.0285714,0.0158502,0.0116403,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
26,36,0.0277778,0.0158651,0.0116628,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
27,36,0.0277778,0.0158486,0.011652,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
28,35,0.0285714,0.0158597,0.0117145,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
29,36,0.0277778,0.0158453,0.0117007,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
30,30,0.0333333,0.0158471,0.0117504,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
31,23,0.0434783,0.0158467,0.0117503,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
32,35,0.0285714,0.0158508,0.0117523,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
33,36,0.0277778,0.0160373,0.0116482,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
34,36,0.0277778,0.0158465,0.0116048,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
35,35,0.0285714,0.0158524,0.0115747,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
36,36,0.0277778,0.0158479,0.0116687,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
37,36,0.0277778,0.0158473,0.0117851,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
38,35,0.0285714,0.0158612,0.0116321,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
39,36,0.0277778,0.0158471,0.0116675,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
40,36,0.0277778,0.0158494,0.0115722,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
41,36,0.0277778,0.0158631,0.0117019,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
42,35,0.0285714,0.0158456,0.0117296,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
43,36,0.0277778,0.0158623,0.0115948,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
44,36,0.0277778,0.0158477,0.0117468,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
45,35,0.0285714,0.0158595,0.011519,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
46,36,0.0277778,0.0158484,0.0117402,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
47,35,0.0285714,0.015849,0.0117606,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
48,36,0.0277778,0.0158599,0.0116967,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
49,36,0.0277778,0.0158471,0.0117616,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
50,35,0.0285714,0.0158577,0.0115076,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
51,36,0.0277778,0.0158471,0.0116864,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
52,36,0.0277778,0.0158503,0.0117194,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
53,36,0.0277778,0.0158604,0.0115564,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
54,35,0.0285714,0.0158586,0.0116782,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
55,36,0.0277778,0.0158635,0.0117045,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
56,35,0.0285714,0.0158465,0.0117125,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
57,36,0.0277778,0.0158561,0.011702,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
58,30,0.0333333,0.0158463,0.0115679,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
59,36,0.0277778,0.0158496,0.0115921,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
60,35,0.0285714,0.0158465,0.011588,3359744,3359744,0,0,1679872,0,0,76,0.5,0,0,
Total,35.6833,30.5, , , , , ,
