time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,30,0.0333333,0.0189127,0.0139037,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
1,30,0.0333333,0.0189142,0.0139211,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
2,30,0.0333333,0.0189107,0.0139254,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
3,30,0.0333333,0.0189146,0.0139374,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
4,30,0.0333333,0.0189172,0.0139562,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
5,30,0.0333333,0.0189161,0.0139894,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
6,30,0.0333333,0.0189152,0.0138495,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
7,30,0.0333333,0.0189131,0.0139362,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
8,30,0.0333333,0.0189132,0.0139314,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
9,29,0.0344828,0.0189153,0.0139414,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
10,23,0.0434783,0.0189152,0.0138207,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
11,30,0.0333333,0.0189145,0.014039,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
12,30,0.0333333,0.0189148,0.0138477,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
13,30,0.0333333,0.0189237,0.0140017,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
14,30,0.0333333,0.0189102,0.013837,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
15,30,0.0333333,0.0189152,0.0138311,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
16,30,0.0333333,0.0189118,0.0139194,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
17,30,0.0333333,0.0189141,0.013855,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
18,30,0.0333333,0.0189136,0.0138656,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
19,30,0.0333333,0.0189113,0.0139752,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
20,29,0.0344828,0.0189225,0.0138749,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
21,30,0.0333333,0.0189147,0.0140045,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
22,30,0.0333333,0.0189146,0.0138526,4015104,4015104,0,0,2007552,0,0,81,0.5,0,0,
